Year,Rank,TEAM,GP,W,L,Win %,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE,POSS,Champion
2011-12,4,San Antonio Spurs,14,10,4,0.714285714,672,109.3,102.8,6.5,60.3,1.6,18,24.9,71.7,49.3,15.3,54.1,57.4,93.36,52.9,"1,306",0
2011-12,5,Philadelphia 76ers,13,7,6,0.538461538,624,96.1,97.2,-1,56.6,1.57,15.2,26.2,70.9,47.9,12.9,43.6,48.2,89.31,47.9,"1,159",0
2011-12,6,Indiana Pacers,11,6,5,0.545454545,533,102.5,100.5,1.9,48.2,1.08,13.4,35.6,70.3,52.8,17,46.1,50.7,88.08,50.5,976,0
2011-12,7,Los Angeles Lakers,12,5,7,0.416666667,576,104,108.1,-4.1,53.6,1.51,14.9,33.9,66.3,49.9,13.8,45.4,50.2,90.63,47.6,"1,085",0
2011-12,8,Los Angeles Clippers,11,4,7,0.363636364,533,100.5,105.7,-5.2,50.1,1.17,14.5,26.7,66.9,46.9,16.3,49.9,53,89.56,46.4,995,0
2011-12,9,Denver Nuggets,7,3,4,0.428571429,336,105.8,106,-0.2,54.3,1.87,15.9,37.3,64,50.8,12.2,46,49.2,91.14,49.6,640,0
2011-12,9,Memphis Grizzlies,7,3,4,0.428571429,341,102.1,101.1,1,50,1.06,13.3,36.7,70.9,53.3,17.2,44.9,50.9,88.33,50.5,627,0
2011-12,11,Atlanta Hawks,6,2,4,0.333333333,293,91.3,96.1,-4.8,55,1.14,14.6,26.5,78,51.1,17,43.8,47.5,88.63,43,540,0
2011-12,11,Chicago Bulls,6,2,4,0.333333333,288,94.8,97.4,-2.6,66.2,1.57,17.7,32.9,76.1,54.5,16.1,44.8,47.5,88.67,49.8,534,0
2011-12,13,New York Knicks,5,1,4,0.2,240,95,110.8,-15.8,41.2,0.68,11,33.8,69.6,51.1,21.1,45.1,49.9,87.3,36.4,436,0
2011-12,13,Orlando Magic,5,1,4,0.2,245,95.2,107.3,-12,55.5,1.23,14.6,28.6,61.9,45.1,15.9,45.2,48.6,86.3,42.3,440,0
2011-12,15,Dallas Mavericks,4,0,4,0,192,100.5,108.1,-7.6,49.2,1.07,12.7,28,79.4,52.1,15.6,45.5,51.9,92.5,44.6,371,0
2011-12,15,Utah Jazz,4,0,4,0,192,92.2,109.9,-17.7,51.1,1.24,13,35.7,78.1,54.3,14.4,39.5,44.3,93.25,38.7,374,0
2010-11,1,Dallas Mavericks,21,16,5,0.761904762,1013,110.7,104.7,6,58.4,1.56,16.7,29.6,68.3,49.4,14.5,51.9,57.1,88.06,53.6,"1,863",1
2010-11,2,Miami Heat,21,14,7,0.666666667,1018,105.5,102.5,3,50.5,1.19,14.1,30.4,70,50.8,15.8,48.5,54.2,87.02,52.6,"1,846",0
2010-11,3,Chicago Bulls,16,9,7,0.5625,773,104.8,100.4,4.5,59.2,1.48,16.1,37.1,71.9,53.8,15.4,46.1,51,87.52,52.4,"1,412",0
2010-11,3,Oklahoma City Thunder,17,9,8,0.529411765,841,107.9,105.6,2.3,50,1.15,13.8,34,68.6,51.9,16.2,48.2,54.8,92.32,51.6,"1,615",0
2010-11,5,Memphis Grizzlies,13,7,6,0.538461538,649,104.2,105,-0.7,51.4,1.44,14.5,33.4,68.3,50.3,13.8,46,51.2,90.97,49.3,"1,230",0
2010-11,6,Atlanta Hawks,12,6,6,0.5,576,100.3,104.9,-4.6,54.9,1.46,15.6,28.5,65.8,47.5,14.4,46.4,50.5,86.21,47,"1,032",0
2010-11,7,Boston Celtics,9,5,4,0.555555556,437,104.5,103.6,1,58.7,1.34,17.1,29.5,67.1,49.3,17.3,51.4,55.2,89.3,52.9,815,0
2010-11,8,Los Angeles Lakers,10,4,6,0.4,480,106.6,107.6,-1,54.5,1.51,15.7,33,74,52.4,14.3,47.7,52.6,87.6,48.6,874,0
2010-11,9,New Orleans Hornets,6,2,4,0.333333333,288,103.1,111.6,-8.5,61.4,1.57,17.3,26.2,65.1,45.8,14.8,48.8,53.7,86.58,45.2,520,0
2010-11,9,Orlando Magic,6,2,4,0.333333333,288,101.7,100.4,1.3,46.8,1.13,12.5,34.1,70.9,52.1,14.7,44.9,50.3,86.83,51,523,0
2010-11,9,Portland Trail Blazers,6,2,4,0.333333333,288,104.1,109.8,-5.7,51.3,1.48,15.1,27.7,67.8,48.1,13.6,48.7,53.4,84.83,47.7,508,0
2010-11,9,San Antonio Spurs,6,2,4,0.333333333,293,101.6,105,-3.4,53,1.24,14.5,28,72,49.7,15.4,47.1,52.6,91.25,48.5,557,0
2010-11,13,Denver Nuggets,5,1,4,0.2,240,102.5,107.1,-4.6,54,1.44,14.3,23.7,67.9,45.8,12.8,46.8,52.5,95.2,45.7,475,0
2010-11,13,Indiana Pacers,5,1,4,0.2,240,99.8,107,-7.2,48.8,1.05,13.1,32.4,57.8,44.9,16.8,44.5,49.6,90.8,42.7,452,0
2010-11,13,Philadelphia 76ers,5,1,4,0.2,240,100.2,108.8,-8.6,60.4,1.92,16.8,31.1,65.8,48,12.3,45.3,48.5,86.4,44.5,432,0
2010-11,16,New York Knicks,4,0,4,0,192,99.5,108.2,-8.7,52.3,1.1,13.2,36.1,62.2,48,16.7,43.5,48.3,91.5,40.6,365,0
